size = 0.000647169,f() = 1.99867,0.573213,5.71263,0.0298157,-0.440471,0.0158678,,,,,,,
size = 0.000647169,f() = 1.99867,0.573213,5.71263,0.0298157,-0.440471,0.0158678,,,,,,,
size = 0.000632123,f() = 1.99867,0.573213,5.71263,0.0298157,-0.440471,0.0158678,,,,,,,
size = 0.000682919,f() = 1.99671,0.573109,5.71362,0.0297692,-0.441048,0.0159238,,,,,,,
size = 0.000682919,f() = 1.99671,0.573109,5.71362,0.0297692,-0.441048,0.0159238,,,,,,,
size = 0.000682919,f() = 1.99671,0.573109,5.71362,0.0297692,-0.441048,0.0159238,,,,,,,
size = 0.000752081,f() = 1.99627,0.573295,5.7136,0.0297626,-0.440982,0.0158526,,,,,,,
size = 0.000909399,f() = 1.99423,0.574857,5.7126,0.0298751,-0.440281,0.0158137,,,,,,,
size = 0.00107079,f() = 1.99242,0.574352,5.71436,0.0298018,-0.441312,0.0159569,,,,,,,
size = 0.00124095,f() = 1.98614,0.575177,5.7146,0.0298069,-0.441348,0.0158806,,,,,,,
size = 0.00124095,f() = 1.98614,0.575177,5.7146,0.0298069,-0.441348,0.0158806,,,,,,,
size = 0.00154605,f() = 1.97856,0.577144,5.71503,0.0298601,-0.441335,0.0158293,,,,,,,
size = 0.00154605,f() = 1.97856,0.577144,5.71503,0.0298601,-0.441335,0.0158293,,,,,,,
size = 0.00232606,f() = 1.97407,0.577334,5.71944,0.0297071,-0.443781,0.0161009,,,,,,,
size = 0.00284663,f() = 1.96097,0.580134,5.71896,0.0297967,-0.443199,0.0159009,,,,,,,
size = 0.00349496,f() = 1.94804,0.582988,5.71935,0.0299256,-0.443074,0.0158652,,,,,,,
size = 0.00349496,f() = 1.94601,0.582724,5.72058,0.029859,-0.443786,0.015967,,,,,,,
size = 0.00349496,f() = 1.94601,0.582724,5.72058,0.029859,-0.443786,0.015967,,,,,,,
size = 0.00268454,f() = 1.94601,0.582724,5.72058,0.029859,-0.443786,0.015967,,,,,,,
size = 0.00229843,f() = 1.94601,0.582724,5.72058,0.029859,-0.443786,0.015967,,,,,,,
size = 0.00229843,f() = 1.93753,0.584129,5.7227,0.0298184,-0.444804,0.0159809,,,,,,,
size = 0.00202843,f() = 1.93753,0.584129,5.7227,0.0298184,-0.444804,0.0159809,,,,,,,
size = 0.0017004,f() = 1.93753,0.584129,5.7227,0.0298184,-0.444804,0.0159809,,,,,,,
size = 0.0017004,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.00149798,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.00125095,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.00116214,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.00116214,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.00107873,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.00107873,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.000968631,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.000896013,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.00078788,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.000726135,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.000685353,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.00063532,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.000603255,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.000581419,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.000558651,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.000543107,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.000532194,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.000326184,f() = 1.93619,0.584679,5.72175,0.0298766,-0.444203,0.0159022,,,,,,,
size = 0.000326184,f() = 1.93571,0.584627,5.7219,0.0298735,-0.444298,0.0159296,,,,,,,
size = 0.000314111,f() = 1.93571,0.584627,5.7219,0.0298735,-0.444298,0.0159296,,,,,,,
size = 0.000304224,f() = 1.93571,0.584627,5.7219,0.0298735,-0.444298,0.0159296,,,,,,,
size = 0.000304224,f() = 1.93545,0.5847,5.72187,0.029878,-0.444275,0.0159282,,,,,,,
size = 0.000304224,f() = 1.93545,0.5847,5.72187,0.029878,-0.444275,0.0159282,,,,,,,
size = 0.000284757,f() = 1.93545,0.5847,5.72187,0.029878,-0.444275,0.0159282,,,,,,,
size = 0.000264995,f() = 1.93545,0.5847,5.72187,0.029878,-0.444275,0.0159282,,,,,,,
size = 0.000264995,f() = 1.93545,0.5847,5.72187,0.029878,-0.444275,0.0159282,,,,,,,
size = 0.000264995,f() = 1.93523,0.584929,5.72159,0.0299027,-0.444099,0.0159215,,,,,,,
size = 0.000263987,f() = 1.93523,0.584929,5.72159,0.0299027,-0.444099,0.0159215,,,,,,,
size = 0.000260879,f() = 1.93523,0.584929,5.72159,0.0299027,-0.444099,0.0159215,,,,,,,
size = 0.000260879,f() = 1.93523,0.584929,5.72159,0.0299027,-0.444099,0.0159215,,,,,,,
size = 0.000260879,f() = 1.93523,0.584929,5.72159,0.0299027,-0.444099,0.0159215,,,,,,,
size = 0.000260879,f() = 1.93507,0.584761,5.72192,0.0298827,-0.444303,0.0159452,,,,,,,
size = 0.000248861,f() = 1.93507,0.584761,5.72192,0.0298827,-0.444303,0.0159452,,,,,,,
size = 0.000248861,f() = 1.93507,0.584761,5.72192,0.0298827,-0.444303,0.0159452,,,,,,,
size = 0.000248861,f() = 1.93507,0.584761,5.72192,0.0298827,-0.444303,0.0159452,,,,,,,
size = 0.000175394,f() = 1.93507,0.584761,5.72192,0.0298827,-0.444303,0.0159452,,,,,,,
size = 0.000174225,f() = 1.93507,0.584761,5.72192,0.0298827,-0.444303,0.0159452,,,,,,,
size = 0.000174225,f() = 1.93507,0.584761,5.72192,0.0298827,-0.444303,0.0159452,,,,,,,
size = 0.000170612,f() = 1.93507,0.584761,5.72192,0.0298827,-0.444303,0.0159452,,,,,,,
size = 0.000203485,f() = 1.93495,0.584756,5.72198,0.0298797,-0.444338,0.0159469,,,,,,,
size = 0.000203485,f() = 1.93495,0.584756,5.72198,0.0298797,-0.444338,0.0159469,,,,,,,
size = 0.000151123,f() = 1.93495,0.584756,5.72198,0.0298797,-0.444338,0.0159469,,,,,,,
size = 0.000136748,f() = 1.93495,0.584756,5.72198,0.0298797,-0.444338,0.0159469,,,,,,,
size = 0.000136748,f() = 1.93495,0.584756,5.72198,0.0298797,-0.444338,0.0159469,,,,,,,
size = 0.000136748,f() = 1.93492,0.584747,5.72205,0.0298788,-0.444379,0.0159588,,,,,,,
size = 0.000136748,f() = 1.93487,0.584801,5.72197,0.0298842,-0.444328,0.0159522,,,,,,,
Final Result:,,,,,,,,,,,,,
size = 7.50317e-05,f() = 1.93487,0.584801,5.72197,0.0298842,-0.444328,0.0159522,,,,,,,
